Sector,Year,Month,Commodity_Index
Rural,2013,January,105.05714285714285
Rural,2013,February,105.2857142857143
Rural,2013,March,105.35714285714286
Rural,2013,April,105.81428571428573
Rural,2013,May,106.48571428571428
Rural,2013,June,108.81428571428572
Rural,2013,July,110.98571428571428
Rural,2013,August,112.6857142857143
Rural,2013,September,115.41428571428571
Rural,2013,October,117.5
Rural,2013,November,120.37142857142858
Rural,2013,December,115.89999999999999
Rural,2014,January,112.7
Rural,2014,February,111.75714285714285
Rural,2014,March,112.71428571428574
Rural,2014,April,114.38571428571429
Rural,2014,May,115.31428571428572
Rural,2014,June,116.31428571428572
Rural,2014,July,120.37142857142855
Rural,2014,August,122.42857142857144
Rural,2014,September,122.27142857142859
Rural,2014,October,121.72857142857141
Rural,2014,November,121.32857142857142
Rural,2014,December,119.4
Rural,2015,January,118.81428571428572
Rural,2015,February,118.55714285714285
Rural,2015,March,118.88571428571427
Rural,2015,April,119.42857142857142
Rural,2015,May,120.17142857142858
Rural,2015,June,122.54285714285713
Rural,2015,July,123.27142857142859
Rural,2015,August,125.91428571428573
Rural,2015,September,127.2857142857143
Rural,2015,October,129.54285714285714
Rural,2015,November,130.68571428571428
Rural,2015,December,129.72857142857143
Rural,2016,January,129.7857142857143
Rural,2016,February,128.42857142857142
Rural,2016,March,128.6285714285714
Rural,2016,April,130.9857142857143
Rural,2016,May,133.05714285714288
Rural,2016,June,135.45714285714286
Rural,2016,July,137.41428571428568
Rural,2016,August,138.04285714285712
Rural,2016,September,137.00000000000003
Rural,2016,October,137.08571428571426
Rural,2016,November,136.0
Rural,2016,December,133.78571428571428
Rural,2017,January,132.04285714285712
Rural,2017,February,131.75714285714287
Rural,2017,March,130.72857142857143
Rural,2017,April,130.54285714285714
Rural,2017,May,130.32857142857142
Rural,2017,June,130.95714285714286
Rural,2017,July,134.6142857142857
Rural,2017,August,137.0142857142857
Rural,2017,September,135.85714285714286
Rural,2017,October,136.35714285714283
Rural,2017,November,138.21428571428572
Rural,2017,December,137.02857142857144
Rural,2018,January,135.3
Rural,2018,February,133.54285714285714
Rural,2018,March,133.3714285714286
Rural,2018,April,133.27142857142857
Rural,2018,May,133.24285714285716
Rural,2018,June,133.6
Rural,2018,July,135.55714285714285
Rural,2018,August,136.52857142857144
Rural,2018,September,134.57142857142858
Rural,2018,October,132.5857142857143
Rural,2018,November,132.07142857142858
Rural,2018,December,129.87142857142857
Rural,2019,January,128.04285714285712
Rural,2019,February,127.77142857142856
Rural,2019,March,127.82857142857142
Rural,2019,May,130.3142857142857
Rural,2019,June,132.24285714285716
Rural,2019,July,134.6285714285714
Rural,2019,August,135.92857142857142
Rural,2019,September,137.37142857142857
Rural,2019,October,140.4714285714286
Rural,2019,November,143.2428571428571
Rural,2019,December,146.51428571428573
Rural,2020,January,145.12857142857143
Rural,2020,February,141.62857142857143
Rural,2020,March,140.02857142857144
Rural,2020,April,146.14285714285714
Rural,2020,May,144.62857142857143
Rural,2020,June,143.1142857142857
Rural,2020,July,143.1142857142857
Rural,2020,August,147.05714285714288
Rural,2020,September,148.21428571428572
Rural,2020,October,151.84285714285713
Rural,2020,November,156.04285714285714
Rural,2020,December,157.58571428571426
Rural,2021,January,152.97142857142856
Rural,2021,February,148.34285714285716
Rural,2021,March,148.15714285714287
Rural,2021,April,150.1857142857143
Rural,2021,May,154.18571428571428
Rural,2021,June,155.62857142857143
Rural,2021,July,155.92857142857142
Rural,2021,August,156.17142857142858
Rural,2021,September,156.9
Rural,2021,October,160.75714285714284
Rural,2021,November,162.95714285714286
Rural,2021,December,160.6142857142857
Rural,2022,January,158.27142857142857
Rural,2022,February,157.91428571428574
Rural,2022,March,160.85714285714286
Rural,2022,April,164.1
Rural,2022,May,165.95714285714283
Rural,2022,June,166.8
Rural,2022,July,167.28571428571428
Rural,2022,August,168.9714285714286
Rural,2022,September,169.55714285714285
Rural,2022,October,170.81428571428572
Rural,2022,November,169.72857142857146
Rural,2022,December,166.9714285714286
Rural,2023,January,166.7571428571429
Rural,2023,February,166.75714285714284
Rural,2023,March,166.77142857142857
Rural+Urban,2013,January,104.82857142857144
Rural+Urban,2013,February,105.12857142857142
Rural+Urban,2013,March,105.14285714285715
Rural+Urban,2013,April,106.07142857142856
Rural+Urban,2013,May,107.37142857142858
Rural+Urban,2013,June,110.0857142857143
Rural+Urban,2013,July,112.47142857142855
Rural+Urban,2013,August,114.10000000000001
Rural+Urban,2013,September,115.48571428571428
Rural+Urban,2013,October,117.51428571428573
Rural+Urban,2013,November,120.18571428571428
Rural+Urban,2013,December,115.11428571428573
Rural+Urban,2014,January,111.8
Rural+Urban,2014,February,110.94285714285715
Rural+Urban,2014,March,111.97142857142856
Rural+Urban,2014,April,114.34285714285714
Rural+Urban,2014,May,115.65714285714284
Rural+Urban,2014,June,117.04285714285713
Rural+Urban,2014,July,121.71428571428571
Rural+Urban,2014,August,123.7
Rural+Urban,2014,September,122.45714285714284
Rural+Urban,2014,October,121.65714285714286
Rural+Urban,2014,November,121.02857142857144
Rural+Urban,2014,December,119.14285714285714
Rural+Urban,2015,January,118.5
