Sector,Year,Month,Food_Index,Fuel_Index,Commodity_Index,CPI_Index
Rural,2013,January,105.5,105.5,105.0571429,105.1
Rural,2013,February,106.3,106.2,105.2857143,105.8
Rural,2013,March,106.6,106.1,105.3571429,106
Rural,2013,April,107.1,106.5,105.8142857,106.4
Rural,2013,May,108.1,107.5,106.4857143,107.2
Rural,2013,June,110.6,108.5,108.8142857,108.9
Rural,2013,July,113.1,109.5,110.9857143,110.7
Rural,2013,August,114.9,109.9,112.6857143,112.1
Rural,2013,September,117.8,111.1,115.4142857,114.2
Rural,2013,October,119.8,111.6,117.5,115.5
Rural,2013,November,122.5,112.6,120.3714286,117.4
Rural,2013,December,118.7,112.8,115.9,115.5
Rural,2014,January,116,113,112.7,114.2
Rural,2014,February,115.3,113.2,111.7571429,114
Rural,2014,March,116.2,113.4,112.7142857,114.6
Rural,2014,April,117.2,113.4,114.3857143,115.4
Rural,2014,May,118.2,113.4,115.3142857,116
Rural,2014,June,119.5,114.4,116.3142857,117
Rural,2014,July,123.3,115.3,120.3714286,119.5
Rural,2014,August,125.3,115.4,122.4285714,120.7
Rural,2014,September,125.3,115.8,122.2714286,120.9
Rural,2014,October,125.1,116.4,121.7285714,121
Rural,2014,November,124.9,117.3,121.3285714,121.1
Rural,2014,December,123.3,117.4,119.4,120.3
Rural,2015,January,122.8,118.4,118.8142857,120.3
Rural,2015,February,122.8,120,118.5571429,120.6
Rural,2015,March,123.1,120.6,118.8857143,121.1
Rural,2015,April,123.6,121.2,119.4285714,121.5
Rural,2015,May,124.4,121.9,120.1714286,122.4
Rural,2015,June,126.6,122.6,122.5428571,124.1
Rural,2015,July,127.5,123,123.2714286,124.7
Rural,2015,August,129.8,123.8,125.9142857,126.1
Rural,2015,September,131,123.7,127.2857143,127
Rural,2015,October,131.8,124.4,129.5428571,127.7
Rural,2015,November,132.4,125.6,130.6857143,128.3
Rural,2015,December,131.4,125.7,129.7285714,127.9
Rural,2016,January,131.4,126.2,129.7857143,128.1
Rural,2016,February,130.3,127.5,128.4285714,127.9
Rural,2016,March,130.4,127,128.6285714,128
Rural,2016,April,131.8,127,130.9857143,129
Rural,2016,May,133.6,127.4,133.0571429,130.3
Rural,2016,June,136,128,135.4571429,131.9
Rural,2016,July,137.6,128.2,137.4142857,133
Rural,2016,August,138,129.1,138.0428571,133.5
Rural,2016,September,137.2,129.7,137,133.4
Rural,2016,October,137.4,129.8,137.0857143,133.8
Rural,2016,November,136.6,130.3,136,133.6
Rural,2016,December,134.7,132,133.7857143,132.8
Rural,2017,January,133.7,132.1,132.0428571,132.4
Rural,2017,February,133.6,133.2,131.7571429,132.6
Rural,2017,March,133.4,134.2,130.7285714,132.8
Rural,2017,April,133.5,135,130.5428571,132.9
Rural,2017,May,133.8,135,130.3285714,133.3
Rural,2017,June,134.9,134.8,130.9571429,133.9
Rural,2017,July,138.5,135.3,134.6142857,136.2
Rural,2017,August,140.6,136.4,137.0142857,137.8
Rural,2017,September,139.6,137.4,135.8571429,137.6
Rural,2017,October,140.4,138.1,136.3571429,138.3
Rural,2017,November,142.4,141.1,138.2142857,140
Rural,2017,December,141.5,142.6,137.0285714,139.8
Rural,2018,January,140.4,142.3,135.3,139.3
Rural,2018,February,138.7,142.4,133.5428571,138.5
Rural,2018,March,138.6,142.6,133.3714286,138.7
Rural,2018,April,138.6,143.8,133.2714286,139.1
Rural,2018,May,139.1,144.3,133.2428571,139.8
Rural,2018,June,140,145.1,133.6,140.5
Rural,2018,July,142,146.8,135.5571429,141.8
Rural,2018,August,142.7,147.7,136.5285714,142.5
Rural,2018,September,141.3,149,134.5714286,142.1
Rural,2018,October,140.2,149.7,132.5857143,142.2
Rural,2018,November,140,150.3,132.0714286,142.4
Rural,2018,December,138.5,149,129.8714286,141.9
Rural,2019,January,137.4,146.2,128.0428571,141
Rural,2019,February,137.2,145.3,127.7714286,141
Rural,2019,March,137.3,146.4,127.8285714,141.2
Rural,2019,May,139.2,146.9,130.3142857,142.4
Rural,2019,June,141,147.8,132.2428571,143.6
Rural,2019,July,143,146.8,134.6285714,144.9
Rural,2019,August,144,146.4,135.9285714,145.7
